date,hour_timestamp,start_hour,daily_hi_max,daily_total_precip,hourly_hi,hourly_precip,rainy_day,HI_t-1,HI_t+1,precip_t-1,precip_t+1
2019-05-01,2019-05-01 03:00:00,3,52,1.4,52,0,0,,51,,0
2019-05-01,2019-05-01 04:00:00,4,52,1.4,51,0,0,52,52,0,0
2019-05-01,2019-05-01 05:00:00,5,52,1.4,52,0,0,51,51,0,0.2
2019-05-01,2019-05-01 06:00:00,6,52,1.4,51,0.2,0,52,51,0,0.5
2019-05-01,2019-05-01 07:00:00,7,52,1.4,51,0.5,0,51,51,0.2,0.2
2019-05-01,2019-05-01 08:00:00,8,52,1.4,51,0.2,0,51,51,0.5,0.1
2019-05-01,2019-05-01 09:00:00,9,52,1.4,51,0.1,0,51,52,0.2,0.1
2019-05-01,2019-05-01 10:00:00,10,52,1.4,52,0.1,0,51,52,0.1,0.1
2019-05-01,2019-05-01 11:00:00,11,52,1.4,52,0.1,0,52,52,0.1,0
2019-05-01,2019-05-01 12:00:00,12,52,1.4,52,0,0,52,52,0.1,0
2019-05-01,2019-05-01 13:00:00,13,52,1.4,52,0,0,52,52,0,0.2
2019-05-01,2019-05-01 14:00:00,14,52,1.4,52,0.2,0,52,51,0,0
2019-05-01,2019-05-01 15:00:00,15,52,1.4,51,0,0,52,51,0.2,0
2019-05-01,2019-05-01 16:00:00,16,52,1.4,51,0,0,51,50,0,0
2019-05-01,2019-05-01 17:00:00,17,52,1.4,50,0,0,51,50,0,0
2019-05-01,2019-05-01 18:00:00,18,52,1.4,50,0,0,50,50,0,0
2019-05-01,2019-05-01 19:00:00,19,52,1.4,50,0,0,50,49,0,0
2019-05-01,2019-05-01 20:00:00,20,52,1.4,49,0,0,50,50,0,0
2019-05-01,2019-05-01 21:00:00,21,52,1.4,50,0,0,49,50,0,0
2019-05-01,2019-05-01 22:00:00,22,52,1.4,50,0,0,50,50,0,0
2019-05-01,2019-05-01 23:00:00,23,52,1.4,50,0,0,50,50,0,0
2019-05-02,2019-05-02 03:00:00,3,76,4.8,50,0,0,50,50,0,0
2019-05-02,2019-05-02 04:00:00,4,76,4.8,50,0,0,50,51,0,0
2019-05-02,2019-05-02 05:00:00,5,76,4.8,51,0,0,50,51,0,0
2019-05-02,2019-05-02 06:00:00,6,76,4.8,51,0,0,51,52,0,0
2019-05-02,2019-05-02 07:00:00,7,76,4.8,52,0,0,51,53,0,0
2019-05-02,2019-05-02 08:00:00,8,76,4.8,53,0,0,52,54,0,0
2019-05-02,2019-05-02 09:00:00,9,76,4.8,54,0,0,53,58,0,0
2019-05-02,2019-05-02 10:00:00,10,76,4.8,58,0,0,54,62,0,0
2019-05-02,2019-05-02 11:00:00,11,76,4.8,62,0,0,58,68,0,0
2019-05-02,2019-05-02 12:00:00,12,76,4.8,68,0,0,62,74,0,0
2019-05-02,2019-05-02 13:00:00,13,76,4.8,74,0,0,68,76,0,0
2019-05-02,2019-05-02 14:00:00,14,76,4.8,76,0,0,74,68,0,0.2
