date,hi_max,hi_max.90perc,total_precipitation,rainy_day
2018-05-01,72,75.74,0,0
2018-05-02,81,71.6,0,0
2018-05-03,86,75.2,0,0
2018-05-04,82,76.28,0,0
2018-05-05,68,75.74,0.3,0
2018-05-06,62,75.74,1.9,0
2018-05-07,69,73.4,0,0
2018-05-08,68,71.6,0,0
2018-05-09,70,75.2,0,0
2018-05-10,70,77.54,0.1,0
2018-05-11,69,80.6,0,0
2018-05-12,57,82.4,11.7,0
2018-05-13,53,77.54,3.8,0
2018-05-14,69,72.14,0.3,0
2018-05-15,87,76.28,8.8,0
2018-05-16,64,78.8,14.8,0
2018-05-17,72,81.14,10.6,0
2018-05-18,65,78.8,0.1,0
2018-05-19,60,77.54,14,0
2018-05-20,83,78.8,1.2,0
2018-05-21,73,78.8,0,0
2018-05-22,65,80.6,5.6,0
2018-05-23,79,79.88,1.7,0
2018-05-24,79,81.14,0,0
2018-05-25,84,82.4,0,0
2018-05-26,87,82.4,0,0
2018-05-27,73,82.4,16.8,0
2018-05-28,68,82.94,0,0
2018-05-29,90,84.74,0,0
2018-05-30,72,86,0,0
2018-05-31,71,86,1.2,0
2018-06-01,83,86,4.4,0
2018-06-02,89,84.2,2.1,0
2018-06-03,64,81.14,1,0
2018-06-04,70,80.6,5.1,0
2018-06-05,71,82.4,0.6,0
2018-06-06,69,80.6,0.2,0
2018-06-07,69,86,0,0
2018-06-08,80,88.34,0.1,0
2018-06-09,80,87.62,0,0
2018-06-10,70,86.54,5.7,0
2018-06-11,69,86.54,1.1,0
2018-06-12,72,84.74,0,0
2018-06-13,77,85.28,6,0
2018-06-14,82,86,0,0
2018-06-15,74,88.34,0,0
2018-06-16,81,86,0,0
2018-06-17,85,84.2,0,0
2018-06-18,95,86,0,0
2018-06-19,86,86.54,1,0
2018-06-20,81,88.34,2.6,0
2018-06-21,84,87.8,0.6,0
2018-06-22,72,86.54,1.9,0
2018-06-23,69,86.54,7.4,0
2018-06-24,89,86,0.6,0
2018-06-25,80,87.8,0,0
2018-06-26,74,88.34,0,0
2018-06-27,74,89.6,4.3,0
2018-06-28,88,89.6,8.7,0
2018-06-29,90,86.54,0,0
2018-06-30,92,86,0,0
2018-07-01,103,84.74,0,0
2018-07-02,98,87.8,0,0
2018-07-03,102,87.8,5.1,0
2018-07-04,96,91.94,1.4,0
2018-07-05,97,89.6,0.4,0
2018-07-06,85,90.14,6.2,0
2018-07-07,75,91.94,0,0
2018-07-08,80,90.14,0,0
2018-07-09,85,90.14,0,0
2018-07-10,90,87.8,0,0
2018-07-11,86,89.6,0,0
2018-07-12,82,89.6,0.1,0
2018-07-13,83,89.6,0,0
2018-07-14,89,90.14,0,0
2018-07-15,90,89.6,3.1,0
2018-07-16,99,91.4,1.1,0
2018-07-17,98,93.2,23.5,0
2018-07-18,84,93.2,0,0
2018-07-19,81,91.4,0,0
2018-07-20,80,90.14,0,0
2018-07-21,74,91.4,15.8,0
2018-07-22,84,90.14,14.6,0
2018-07-23,89,89.42,6.3,0
2018-07-24,89,90.14,3.3,0
2018-07-25,85,89.6,23.2,0
2018-07-26,92,89.6,1.6,0
2018-07-27,91,89.6,11.3,0
2018-07-28,90,87.8,8.7,0
2018-07-29,84,89.6,0,0
2018-07-30,79,89.6,0,0
2018-07-31,81,87.8,0,0
2018-08-01,95,89.6,7,0
2018-08-02,93,89.6,6,0
2018-08-03,92,89.6,12.3,0
2018-08-04,94,89.6,23.6,0
2018-08-05,96,90.14,0,0
2018-08-06,97,87.8,0,0
2018-08-07,99,88.34,0.8,0
2018-08-08,99,90.14,4,0
2018-08-09,91,89.6,0.1,0
2018-08-10,89,87.8,0,0
2018-08-11,79,87.8,28.2,0
2018-08-12,87,89.6,5.1,0
2018-08-13,78,89.42,9.7,0
2018-08-14,86,91.4,10.4,0
2018-08-15,93,87.8,0.5,0
2018-08-16,95,87.8,0,0
2018-08-17,98,87.8,3.9,0
2018-08-18,93,87.8,6.2,0
2018-08-19,74,86,2.6,0
2018-08-20,76,86,1.1,0
2018-08-21,76,86.54,0.7,0
2018-08-22,86,84.74,5.4,0
2018-08-23,79,84.74,0.1,0
2018-08-24,83,84.2,0,0
2018-08-25,79,84.74,0,0
2018-08-26,86,86.54,0,0
2018-08-27,94,86.54,0,0
2018-08-28,100,86,0,0
2018-08-29,101,86,0.5,0
2018-08-30,94,84.74,0,0
2018-08-31,76,86.54,3.4,0
2018-09-01,77,84.74,0.6,0
2018-09-02,83,86.54,0.1,0
2018-09-03,99,84.74,0,0
2018-09-04,100,84.2,0.1,0
2018-09-05,96,82.4,0.3,0
2018-09-06,102,85.28,6,0
2018-09-07,77,84.74,4.7,0
2018-09-08,72,83.48,5.9,0
2018-09-09,62,84.2,22.3,0
2018-09-10,65,84.2,16.7,0
2018-09-11,77,84.2,2.9,0
2018-09-12,78,82.4,5.9,0
2018-09-13,77,82.4,3.1,0
2018-09-14,74,84.2,0,0
2018-09-15,81,80.6,0.1,0
2018-09-16,84,80.6,0,0
2018-09-17,79,82.4,4.4,0
2018-09-18,82,81.14,17.8,0
2018-09-19,81,80.6,0.3,0
2018-09-20,72,80.6,0.1,0
2018-09-21,74,81.14,0.2,0
2018-09-22,74,81.14,1.8,0
2018-09-23,65,80.6,1.2,0
2018-09-24,66,78.8,0,0
2018-09-25,72,79.34,46.4,1
2018-09-26,84,78.8,2.3,0
2018-09-27,71,79.34,1.4,0
2018-09-28,64,75.2,19.6,0
2018-09-29,73,75.2,0,0
2018-09-30,69,73.94,0,0
