date,hour_timestamp,start_hour,daily_hi_max,daily_total_precip,hourly_hi,hourly_precip,rainy_day,HI_t-1,HI_t+1,precip_t-1,precip_t+1
2022-05-01,2022-05-01 03:00:00,3,62,1.1,47,0,0,,45,,0
2022-05-01,2022-05-01 04:00:00,4,62,1.1,45,0,0,47,45,0,0
2022-05-01,2022-05-01 05:00:00,5,62,1.1,45,0,0,45,45,0,0
2022-05-01,2022-05-01 06:00:00,6,62,1.1,45,0,0,45,49,0,0
2022-05-01,2022-05-01 07:00:00,7,62,1.1,49,0,0,45,51,0,0
2022-05-01,2022-05-01 08:00:00,8,62,1.1,51,0,0,49,54,0,0
2022-05-01,2022-05-01 09:00:00,9,62,1.1,54,0,0,51,58,0,0
2022-05-01,2022-05-01 10:00:00,10,62,1.1,58,0,0,54,59,0,0
2022-05-01,2022-05-01 11:00:00,11,62,1.1,59,0,0,58,60,0,0
2022-05-01,2022-05-01 12:00:00,12,62,1.1,60,0,0,59,60,0,0
2022-05-01,2022-05-01 13:00:00,13,62,1.1,60,0,0,60,62,0,0
2022-05-01,2022-05-01 14:00:00,14,62,1.1,62,0,0,60,62,0,0
2022-05-01,2022-05-01 15:00:00,15,62,1.1,62,0,0,62,61,0,0
2022-05-01,2022-05-01 16:00:00,16,62,1.1,61,0,0,62,58,0,0
2022-05-01,2022-05-01 17:00:00,17,62,1.1,58,0,0,61,57,0,0
2022-05-01,2022-05-01 18:00:00,18,62,1.1,57,0,0,58,56,0,0.1
2022-05-01,2022-05-01 19:00:00,19,62,1.1,56,0.1,0,57,55,0,0
2022-05-01,2022-05-01 20:00:00,20,62,1.1,55,0,0,56,55,0.1,0
2022-05-01,2022-05-01 21:00:00,21,62,1.1,55,0,0,55,54,0,0.2
2022-05-01,2022-05-01 22:00:00,22,62,1.1,54,0.2,0,55,54,0,0.8
2022-05-01,2022-05-01 23:00:00,23,62,1.1,54,0.8,0,54,53,0.2,0.5
2022-05-02,2022-05-02 03:00:00,3,57,3.4,53,0.5,0,54,52,0.8,0.2
2022-05-02,2022-05-02 04:00:00,4,57,3.4,52,0.2,0,53,53,0.5,0
2022-05-02,2022-05-02 05:00:00,5,57,3.4,53,0,0,52,52,0.2,0.6
2022-05-02,2022-05-02 06:00:00,6,57,3.4,52,0.6,0,53,52,0,0.2
2022-05-02,2022-05-02 07:00:00,7,57,3.4,52,0.2,0,52,52,0.6,0.1
2022-05-02,2022-05-02 08:00:00,8,57,3.4,52,0.1,0,52,53,0.2,0.4
2022-05-02,2022-05-02 09:00:00,9,57,3.4,53,0.4,0,52,55,0.1,0.3
2022-05-02,2022-05-02 10:00:00,10,57,3.4,55,0.3,0,53,55,0.4,0.2
2022-05-02,2022-05-02 11:00:00,11,57,3.4,55,0.2,0,55,54,0.3,0.1
2022-05-02,2022-05-02 12:00:00,12,57,3.4,54,0.1,0,55,56,0.2,0.1
2022-05-02,2022-05-02 13:00:00,13,57,3.4,56,0.1,0,54,56,0.1,0.4
2022-05-02,2022-05-02 14:00:00,14,57,3.4,56,0.4,0,56,57,0.1,0.2
2022-05-02,2022-05-02 15:00:00,15,57,3.4,57,0.2,0,56,57,0.4,0.1
2022-05-02,2022-05-02 16:00:00,16,57,3.4,57,0.1,0,57,54,0.2,0
2022-05-02,2022-05-02 17:00:00,17,57,3.4,54,0,0,57,54,0.1,0
2022-05-02,2022-05-02 18:00:00,18,57,3.4,54,0,0,54,54,0,0
2022-05-02,2022-05-02 19:00:00,19,57,3.4,54,0,0,54,53,0,0
2022-05-02,2022-05-02 20:00:00,20,57,3.4,53,0,0,54,53,0,0
2022-05-02,2022-05-02 21:00:00,21,57,3.4,53,0,0,53,52,0,0
2022-05-02,2022-05-02 22:00:00,22,57,3.4,52,0,0,53,52,0,0
2022-05-02,2022-05-02 23:00:00,23,57,3.4,52,0,0,52,49,0,0
2022-05-03,2022-05-03 03:00:00,3,58,0,49,0,0,52,50,0,0
2022-05-03,2022-05-03 04:00:00,4,58,0,50,0,0,49,50,0,0
2022-05-03,2022-05-03 05:00:00,5,58,0,50,0,0,50,52,0,0
2022-05-03,2022-05-03 06:00:00,6,58,0,52,0,0,50,53,0,0
2022-05-03,2022-05-03 07:00:00,7,58,0,53,0,0,52,54,0,0
2022-05-03,2022-05-03 08:00:00,8,58,0,54,0,0,53,54,0,0
2022-05-03,2022-05-03 09:00:00,9,58,0,54,0,0,54,56,0,0
2022-05-03,2022-05-03 10:00:00,10,58,0,56,0,0,54,57,0,0
2022-05-03,2022-05-03 11:00:00,11,58,0,57,0,0,56,57,0,0
2022-05-03,2022-05-03 12:00:00,12,58,0,57,0,0,57,57,0,0
2022-05-03,2022-05-03 13:00:00,13,58,0,57,0,0,57,58,0,0
2022-05-03,2022-05-03 14:00:00,14,58,0,58,0,0,57,57,0,0
2022-05-03,2022-05-03 15:00:00,15,58,0,57,0,0,58,56,0,0
2022-05-03,2022-05-03 16:00:00,16,58,0,56,0,0,57,55,0,0
2022-05-03,2022-05-03 17:00:00,17,58,0,55,0,0,56,54,0,0
2022-05-03,2022-05-03 18:00:00,18,58,0,54,0,0,55,53,0,0
2022-05-03,2022-05-03 19:00:00,19,58,0,53,0,0,54,52,0,0
2022-05-03,2022-05-03 20:00:00,20,58,0,52,0,0,53,52,0,0
2022-05-03,2022-05-03 21:00:00,21,58,0,52,0,0,52,51,0,0
2022-05-03,2022-05-03 22:00:00,22,58,0,51,0,0,52,51,0,0
2022-05-03,2022-05-03 23:00:00,23,58,0,51,0,0,51,50,0,0.9
2022-05-04,2022-05-04 03:00:00,3,61,6.4,50,0.9,0,51,49,0,1.3
2022-05-04,2022-05-04 04:00:00,4,61,6.4,49,1.3,0,50,50,0.9,1.1
2022-05-04,2022-05-04 05:00:00,5,61,6.4,50,1.1,0,49,50,1.3,0.8
2022-05-04,2022-05-04 06:00:00,6,61,6.4,50,0.8,0,50,51,1.1,0.4
2022-05-04,2022-05-04 07:00:00,7,61,6.4,51,0.4,0,50,51,0.8,0.1
2022-05-04,2022-05-04 08:00:00,8,61,6.4,51,0.1,0,51,51,0.4,0
2022-05-04,2022-05-04 09:00:00,9,61,6.4,51,0,0,51,53,0.1,0
2022-05-04,2022-05-04 10:00:00,10,61,6.4,53,0,0,51,54,0,0
2022-05-04,2022-05-04 11:00:00,11,61,6.4,54,0,0,53,56,0,0.7
