date,hi_max,hi_max.90perc,total_precipitation,rainy_day
2024-05-01,72,75.2,0.1,0
2024-05-02,78,76.46,0,0
2024-05-03,56,75.2,0,0
2024-05-04,57,77.72,0.5,0
2024-05-05,53,75.2,3.6,0
2024-05-06,69,74.66,0,0
2024-05-07,77,73.4,0,0
2024-05-08,82,71.6,1.1,0
2024-05-09,67,74.66,0.2,0
2024-05-10,51,75.92,9.6,0
2024-05-11,58,79.52,0,0
2024-05-12,53,82.4,5.6,0
2024-05-13,64,77,0,0
2024-05-14,72,71.6,0.5,0
2024-05-15,64,78.8,7.8,0
2024-05-16,64,78.8,1.5,0
2024-05-17,71,80.6,0.1,0
2024-05-18,69,78.8,1.7,0
2024-05-19,72,78.26,0.3,0
2024-05-20,71,80.06,0,0
2024-05-21,81,78.8,0,0
2024-05-22,83,80.6,0,0
2024-05-23,81,81.32,1.9,0
2024-05-24,82,80.6,0,0
2024-05-25,76,82.4,0,0
2024-05-26,83,82.4,0.2,0
2024-05-27,74,82.4,22.3,0
2024-05-28,80,82.4,0,0
2024-05-29,75,85.46,0.7,0
2024-05-30,71,85.46,3.3,0
2024-05-31,75,86,0,0
2024-06-01,80,86,0,0
2024-06-02,80,84.2,0,0
2024-06-03,83,80.6,0,0
2024-06-04,79,80.6,0,0
2024-06-05,79,82.4,0.8,0
2024-06-06,86,82.4,20.4,0
2024-06-07,82,86,0,0
2024-06-08,78,87.8,0,0
2024-06-09,75,86,0.5,0
2024-06-10,74,86,0,0
2024-06-11,72,86,0.2,0
2024-06-12,75,84.2,0,0
2024-06-13,83,84.2,0,0
2024-06-14,85,86,14.9,0
2024-06-15,80,87.26,0,0
2024-06-16,72,85.46,0,0
2024-06-17,85,84.2,0,0
2024-06-18,91,86,0,0
2024-06-19,89,86,0,0
2024-06-20,92,87.26,0,0
2024-06-21,96,87.8,0.4,0
2024-06-22,98,86,2.1,0
2024-06-23,99,85.46,3.6,0
2024-06-24,79,85.46,0,0
2024-06-25,87,87.8,0,0
2024-06-26,92,87.8,0.2,0
2024-06-27,85,89.6,2.3,0
2024-06-28,74,89.6,0,0
2024-06-29,82,89.06,0.5,0
2024-06-30,90,88.52,38.5,1
2024-07-01,80,87.26,0,0
2024-07-02,81,89.06,0,0
2024-07-03,81,87.8,0,0
2024-07-04,87,91.4,0.1,0
2024-07-05,96,89.6,1.7,0
2024-07-06,98,90.86,0.8,0
2024-07-07,96,91.4,0,0
2024-07-08,97,89.6,0.1,0
2024-07-09,98,89.6,2,0
2024-07-10,97,87.8,0.1,0
2024-07-11,90,89.6,0.2,0
2024-07-12,90,89.6,6.5,0
2024-07-13,93,89.6,29.9,0
2024-07-14,93,89.06,3.1,0
2024-07-15,101,89.6,0,0
2024-07-16,102,91.4,1,0
2024-07-17,98,93.2,12.9,0
2024-07-18,86,93.2,0,0
2024-07-19,82,91.4,0,0
2024-07-20,86,92.66,0.2,0
2024-07-21,87,91.4,0.4,0
2024-07-22,85,90.86,1.7,0
2024-07-23,84,91.58,1.5,0
2024-07-24,83,90.86,2.4,0
2024-07-25,85,89.6,0,0
2024-07-26,82,89.6,0,0
2024-07-27,83,89.6,0,0
2024-07-28,85,89.06,0,0
2024-07-29,84,89.6,7.2,0
2024-07-30,90,89.6,0.3,0
2024-07-31,93,87.8,2.7,0
2024-08-01,97,89.06,0,0
2024-08-02,98,89.6,0.9,0
2024-08-03,96,89.6,7.6,0
2024-08-04,88,89.6,3.8,0
2024-08-05,93,89.6,0,0
2024-08-06,96,89.06,27.9,0
2024-08-07,74,89.6,7.1,0
2024-08-08,73,90.86,9,0
2024-08-09,90,89.6,19.1,0
2024-08-10,86,87.8,0,0
2024-08-11,82,89.06,0.1,0
2024-08-12,79,89.6,0.1,0
2024-08-13,81,90.32,0,0
2024-08-14,84,90.86,0,0
2024-08-15,85,87.8,0,0
2024-08-16,86,87.8,0,0
2024-08-17,81,87.8,0.5,0
2024-08-18,83,87.26,14,0
2024-08-19,90,86,10.7,0
2024-08-20,71,86,0,0
2024-08-21,72,86,0,0
2024-08-22,75,85.46,0,0
2024-08-23,78,84.2,0,0
2024-08-24,81,86.72,0,0
2024-08-25,82,87.26,0,0
2024-08-26,85,87.26,0.3,0
2024-08-27,85,89.06,0,0
2024-08-28,96,86,0.5,0
2024-08-29,75,86,1.6,0
2024-08-30,73,86,13.4,0
2024-08-31,77,86,0.4,0
2024-09-01,85,85.46,5.1,0
2024-09-02,78,85.46,0,0
2024-09-03,72,86,0,0
2024-09-04,74,86,0,0
2024-09-05,75,84.2,0,0
2024-09-06,76,87.8,0.3,0
2024-09-07,74,85.46,5,0
2024-09-08,69,84.92,0,0
2024-09-09,74,84.2,0,0
2024-09-10,76,83.66,0,0
2024-09-11,74,84.2,0,0
2024-09-12,76,82.4,0,0
2024-09-13,77,82.4,0,0
2024-09-14,82,83.66,0,0
2024-09-15,76,80.6,0,0
2024-09-16,73,80.6,0,0
2024-09-17,76,81.32,0.1,0
