date,hour_timestamp,start_hour,daily_hi_max,daily_total_precip,hourly_hi,hourly_precip,rainy_day,HI_t-1,HI_t+1,precip_t-1,precip_t+1
2018-05-01,2018-05-01 03:00:00,3,72,0,47,0,0,,46,,0
2018-05-01,2018-05-01 04:00:00,4,72,0,46,0,0,47,45,0,0
2018-05-01,2018-05-01 05:00:00,5,72,0,45,0,0,46,46,0,0
2018-05-01,2018-05-01 06:00:00,6,72,0,46,0,0,45,48,0,0
2018-05-01,2018-05-01 07:00:00,7,72,0,48,0,0,46,52,0,0
2018-05-01,2018-05-01 08:00:00,8,72,0,52,0,0,48,57,0,0
2018-05-01,2018-05-01 09:00:00,9,72,0,57,0,0,52,61,0,0
2018-05-01,2018-05-01 10:00:00,10,72,0,61,0,0,57,64,0,0
2018-05-01,2018-05-01 11:00:00,11,72,0,64,0,0,61,67,0,0
2018-05-01,2018-05-01 12:00:00,12,72,0,67,0,0,64,69,0,0
2018-05-01,2018-05-01 13:00:00,13,72,0,69,0,0,67,71,0,0
2018-05-01,2018-05-01 14:00:00,14,72,0,71,0,0,69,72,0,0
2018-05-01,2018-05-01 15:00:00,15,72,0,72,0,0,71,72,0,0
2018-05-01,2018-05-01 16:00:00,16,72,0,72,0,0,72,69,0,0
2018-05-01,2018-05-01 17:00:00,17,72,0,69,0,0,72,70,0,0
2018-05-01,2018-05-01 18:00:00,18,72,0,70,0,0,69,70,0,0
2018-05-01,2018-05-01 19:00:00,19,72,0,70,0,0,70,66,0,0
2018-05-01,2018-05-01 20:00:00,20,72,0,66,0,0,70,65,0,0
2018-05-01,2018-05-01 21:00:00,21,72,0,65,0,0,66,64,0,0
2018-05-01,2018-05-01 22:00:00,22,72,0,64,0,0,65,63,0,0
2018-05-01,2018-05-01 23:00:00,23,72,0,63,0,0,64,59,0,0
2018-05-02,2018-05-02 03:00:00,3,81,0,59,0,0,63,57,0,0
2018-05-02,2018-05-02 04:00:00,4,81,0,57,0,0,59,56,0,0
2018-05-02,2018-05-02 05:00:00,5,81,0,56,0,0,57,57,0,0
2018-05-02,2018-05-02 06:00:00,6,81,0,57,0,0,56,61,0,0
2018-05-02,2018-05-02 07:00:00,7,81,0,61,0,0,57,65,0,0
2018-05-02,2018-05-02 08:00:00,8,81,0,65,0,0,61,68,0,0
2018-05-02,2018-05-02 09:00:00,9,81,0,68,0,0,65,75,0,0
2018-05-02,2018-05-02 10:00:00,10,81,0,75,0,0,68,78,0,0
2018-05-02,2018-05-02 11:00:00,11,81,0,78,0,0,75,80,0,0
2018-05-02,2018-05-02 12:00:00,12,81,0,80,0,0,78,81,0,0
2018-05-02,2018-05-02 13:00:00,13,81,0,81,0,0,80,81,0,0
2018-05-02,2018-05-02 14:00:00,14,81,0,81,0,0,81,81,0,0
2018-05-02,2018-05-02 15:00:00,15,81,0,81,0,0,81,81,0,0
2018-05-02,2018-05-02 16:00:00,16,81,0,81,0,0,81,80,0,0
2018-05-02,2018-05-02 17:00:00,17,81,0,80,0,0,81,78,0,0
2018-05-02,2018-05-02 18:00:00,18,81,0,78,0,0,80,76,0,0
2018-05-02,2018-05-02 19:00:00,19,81,0,76,0,0,78,74,0,0
2018-05-02,2018-05-02 20:00:00,20,81,0,74,0,0,76,73,0,0
2018-05-02,2018-05-02 21:00:00,21,81,0,73,0,0,74,70,0,0
2018-05-02,2018-05-02 22:00:00,22,81,0,70,0,0,73,69,0,0
2018-05-02,2018-05-02 23:00:00,23,81,0,69,0,0,70,65,0,0
2018-05-03,2018-05-03 03:00:00,3,86,0,65,0,0,69,65,0,0
2018-05-03,2018-05-03 04:00:00,4,86,0,65,0,0,65,63,0,0
2018-05-03,2018-05-03 05:00:00,5,86,0,63,0,0,65,63,0,0
2018-05-03,2018-05-03 06:00:00,6,86,0,63,0,0,63,66,0,0
2018-05-03,2018-05-03 07:00:00,7,86,0,66,0,0,63,70,0,0
2018-05-03,2018-05-03 08:00:00,8,86,0,70,0,0,66,74,0,0
2018-05-03,2018-05-03 09:00:00,9,86,0,74,0,0,70,79,0,0
2018-05-03,2018-05-03 10:00:00,10,86,0,79,0,0,74,81,0,0
2018-05-03,2018-05-03 11:00:00,11,86,0,81,0,0,79,83,0,0
2018-05-03,2018-05-03 12:00:00,12,86,0,83,0,0,81,84,0,0
2018-05-03,2018-05-03 13:00:00,13,86,0,84,0,0,83,85,0,0
2018-05-03,2018-05-03 14:00:00,14,86,0,85,0,0,84,86,0,0
2018-05-03,2018-05-03 15:00:00,15,86,0,86,0,0,85,85,0,0
2018-05-03,2018-05-03 16:00:00,16,86,0,85,0,0,86,82,0,0
2018-05-03,2018-05-03 17:00:00,17,86,0,82,0,0,85,76,0,0
2018-05-03,2018-05-03 18:00:00,18,86,0,76,0,0,82,74,0,0
2018-05-03,2018-05-03 19:00:00,19,86,0,74,0,0,76,74,0,0
2018-05-03,2018-05-03 20:00:00,20,86,0,74,0,0,74,73,0,0
2018-05-03,2018-05-03 21:00:00,21,86,0,73,0,0,74,71,0,0
2018-05-03,2018-05-03 22:00:00,22,86,0,71,0,0,73,70,0,0
2018-05-03,2018-05-03 23:00:00,23,86,0,70,0,0,71,68,0,0
2018-05-04,2018-05-04 03:00:00,3,82,0,68,0,0,70,68,0,0
2018-05-04,2018-05-04 04:00:00,4,82,0,68,0,0,68,67,0,0
2018-05-04,2018-05-04 05:00:00,5,82,0,67,0,0,68,67,0,0
2018-05-04,2018-05-04 06:00:00,6,82,0,67,0,0,67,68,0,0
2018-05-04,2018-05-04 07:00:00,7,82,0,68,0,0,67,68,0,0
2018-05-04,2018-05-04 08:00:00,8,82,0,68,0,0,68,69,0,0
2018-05-04,2018-05-04 09:00:00,9,82,0,69,0,0,68,70,0,0
2018-05-04,2018-05-04 10:00:00,10,82,0,70,0,0,69,72,0,0
2018-05-04,2018-05-04 11:00:00,11,82,0,72,0,0,70,76,0,0
2018-05-04,2018-05-04 12:00:00,12,82,0,76,0,0,72,81,0,0
2018-05-04,2018-05-04 13:00:00,13,82,0,81,0,0,76,82,0,0
2018-05-04,2018-05-04 14:00:00,14,82,0,82,0,0,81,81,0,0
2018-05-04,2018-05-04 15:00:00,15,82,0,81,0,0,82,81,0,0
2018-05-04,2018-05-04 16:00:00,16,82,0,81,0,0,81,78,0,0
2018-05-04,2018-05-04 17:00:00,17,82,0,78,0,0,81,78,0,0
2018-05-04,2018-05-04 18:00:00,18,82,0,78,0,0,78,77,0,0
2018-05-04,2018-05-04 19:00:00,19,82,0,77,0,0,78,77,0,0
2018-05-04,2018-05-04 20:00:00,20,82,0,77,0,0,77,77,0,0
2018-05-04,2018-05-04 21:00:00,21,82,0,77,0,0,77,75,0,0
2018-05-04,2018-05-04 22:00:00,22,82,0,75,0,0,77,75,0,0
2018-05-04,2018-05-04 23:00:00,23,82,0,75,0,0,75,67,0,0
2018-05-05,2018-05-05 03:00:00,3,68,0.3,67,0,0,75,62,0,0
2018-05-05,2018-05-05 04:00:00,4,68,0.3,62,0,0,67,61,0,0
2018-05-05,2018-05-05 05:00:00,5,68,0.3,61,0,0,62,60,0,0
2018-05-05,2018-05-05 06:00:00,6,68,0.3,60,0,0,61,60,0,0
2018-05-05,2018-05-05 07:00:00,7,68,0.3,60,0,0,60,60,0,0
2018-05-05,2018-05-05 08:00:00,8,68,0.3,60,0,0,60,61,0,0
2018-05-05,2018-05-05 09:00:00,9,68,0.3,61,0,0,60,64,0,0
2018-05-05,2018-05-05 10:00:00,10,68,0.3,64,0,0,61,66,0,0
2018-05-05,2018-05-05 11:00:00,11,68,0.3,66,0,0,64,67,0,0
2018-05-05,2018-05-05 12:00:00,12,68,0.3,67,0,0,66,68,0,0
2018-05-05,2018-05-05 13:00:00,13,68,0.3,68,0,0,67,68,0,0
2018-05-05,2018-05-05 14:00:00,14,68,0.3,68,0,0,68,68,0,0
2018-05-05,2018-05-05 15:00:00,15,68,0.3,68,0,0,68,68,0,0
2018-05-05,2018-05-05 16:00:00,16,68,0.3,68,0,0,68,67,0,0
2018-05-05,2018-05-05 17:00:00,17,68,0.3,67,0,0,68,67,0,0
2018-05-05,2018-05-05 18:00:00,18,68,0.3,67,0,0,67,66,0,0.1
2018-05-05,2018-05-05 19:00:00,19,68,0.3,66,0.1,0,67,64,0,0.2
2018-05-05,2018-05-05 20:00:00,20,68,0.3,64,0.2,0,66,64,0.1,0
2018-05-05,2018-05-05 21:00:00,21,68,0.3,64,0,0,64,63,0.2,0
2018-05-05,2018-05-05 22:00:00,22,68,0.3,63,0,0,64,63,0,0
2018-05-05,2018-05-05 23:00:00,23,68,0.3,63,0,0,63,61,0,0.2
